"country","spending_usd","spending_gdp","source_currency","exchange_rate","conversion_date","source","source_url","exchange_rate_source","exchange_rate_source_url"
"Czechia",71128621089.2236,29.1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Denmark",130053997682.503,37.1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Estonia",10240903823.8702,34.1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Finland",70123986095.0174,25.9,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"France",619742757821.553,22.7,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Germany",488407879490.151,12.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Greece",76871378910.7764,36.9,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Hungary",52236848203.9397,33.2,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ireland",92200347624.5655,24.3,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Italy",611185399768.25,29.8,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
